#23456123456789ABCD123456789ABCD123456789ABCD123456789ABCD123456789ABCD123456789ABCDE123456789A123456789A1234567891234
 5615 SiN+         E            Si           N                                        2.00E-07 -5.00E-01  0.00E+00   9
 5616 SiO+         E            Si           O                                        2.00E-07 -5.00E-01  0.00E+00   9
 5617 SiX+         E            Si           X                                        2.00E-07 -5.00E-01  0.00E+00   9
 5618 SiS+         E            Si           S                                        2.00E-07 -5.00E-01  0.00E+00   9
 5619 SiF+         E            Si           F                                        2.00E-07 -5.00E-01  0.00E+00   9
 5620 SO+          E            O            S                                        2.00E-07 -5.00E-01  0.00E+00   9
 5621 SX+          E            X            S                                        2.00E-07 -5.00E-01  0.00E+00   9
 5622 C2H+         E            C2           H                                        1.16E-07 -7.60E-01  0.00E+00   9
 5623 C2H+         E            CH           C                                        1.05E-07 -7.60E-01  0.00E+00   9
 5624 C2H+         E            C            C            H                           4.80E-08 -7.60E-01  0.00E+00   9
 5625 C2N+         E            C            CN                                       1.50E-07 -5.00E-01  0.00E+00   9
 5626 C2N+         E            C2           N                                        1.50E-07 -5.00E-01  0.00E+00   9
 5627 C2O+         E            CO           C                                        3.00E-07 -5.00E-01  0.00E+00   9
 5628 C2X+         E            CX           C                                        3.00E-07 -5.00E-01  0.00E+00   9
 5629 C2S+         E            C2           S                                        1.50E-07 -5.00E-01  0.00E+00   9
 5630 C2S+         E            CS           C                                        1.50E-07 -5.00E-01  0.00E+00   9
 5631 C3+          E            C2           C                                        3.00E-07 -5.00E-01  0.00E+00   9
 5632 CCP+         E            P            C2                                       1.50E-07 -5.00E-01  0.00E+00   9
 5633 CCP+         E            CP           C                                        1.50E-07 -5.00E-01  0.00E+00   9
 5634 CH2+         E            C            H2                                       7.70E-08 -6.00E-01  0.00E+00   9
 5635 CH2+         E            CH           H                                        1.60E-07 -6.00E-01  0.00E+00   9
 5636 CH2+         E            C            H            H                           4.00E-07 -6.00E-01  0.00E+00   9
 5637 CHSi+        E            Si           CH                                       1.50E-07 -5.00E-01  0.00E+00   9
 5638 CHSi+        E            SiC          H                                        1.50E-07 -5.00E-01  0.00E+00   9
 5639 CNC+         E            CN           C                                        3.00E-07 -5.00E-01  0.00E+00   9
 5640 CO2+         E            O            CO                                       4.20E-07 -7.50E-01  0.00E+00   9
 5641 COX+         E            X            CO                                       2.10E-07 -7.50E-01  0.00E+00   9
 5642 COX+         E            O            CX                                       2.10E-07 -7.50E-01  0.00E+00   9
 5643 H2Cl+        E            Cl           H            H                           2.70E-07 -5.00E-01  0.00E+00   9
 5644 H2Cl+        E            HCl          H                                        3.00E-08 -5.00E-01  0.00E+00   9
 5645 H2F+         E            F            H            H                           3.50E-07 -5.00E-01  0.00E+00   9
 5646 H2F+         E            HF           H                                        3.50E-07 -5.00E-01  0.00E+00   9
 5647 H2O+         E            O            H2                                       3.90E-08 -5.00E-01  0.00E+00   9
 5648 H2X+         E            X            H2                                       3.90E-08 -5.00E-01  0.00E+00   9
 5649 H2O+         E            OH           H                                        8.60E-08 -5.00E-01  0.00E+00   9
 5650 H2X+         E            XH           H                                        8.60E-08 -5.00E-01  0.00E+00   9
 5651 H2O+         E            O            H            H                           3.05E-07 -5.00E-01  0.00E+00   9
 5652 H2X+         E            X            H            H                           3.05E-07 -5.00E-01  0.00E+00   9
 5653 H2S+         E            S            H            H                           1.50E-07 -5.00E-01  0.00E+00   9
 5654 H2S+         E            HS           H                                        1.50E-07 -5.00E-01  0.00E+00   9
 5655 H3+          E            H            H            H                           4.36E-08 -5.20E-01  0.00E+00   9
 5656 H3+          E            H2           H                                        2.34E-08 -5.20E-01  0.00E+00   9
 5657 HCN+         E            CN           H                                        2.00E-07 -5.00E-01  0.00E+00   9
 5658 HCO+         E            CO           H                                        2.80E-07 -6.90E-01  0.00E+00   9
 5659 HCX+         E            CX           H                                        2.80E-07 -6.90E-01  0.00E+00   9
 5660 HCO+         E            OH           C                                        1.00E-08 -6.90E-01  0.00E+00   9
 5661 HCX+         E            XH           C                                        1.00E-08 -6.90E-01  0.00E+00   9
 5662 HCO+         E            CH           O                                        1.00E-08 -6.90E-01  0.00E+00   9
 5663 HCX+         E            CH           X                                        1.00E-08 -6.90E-01  0.00E+00   9
 5664 HCP+         E            P            CH                                       1.50E-07 -5.00E-01  0.00E+00   9
