!23456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789123456789123456789123456123456123121231212
C+          C4S                     C4S+        C                                    1.80e-09-5.00e-01 0.00e+00              2
C+          C4S                     C5+         S                                    1.80e-09-5.00e-01 0.00e+00              2
C+          CH2PH                   PC2H+       H2                                   6.28e-10-5.00e-01 0.00e+00              2
C+          CH3N                    C2H2N+      H                                    2.70e-09-5.00e-01 0.00e+00              2
C+          CH4                     C2H2+       H2                                   5.00e-10 0.00e+00 0.00e+00              2
C+          CH4                     C2H3+       H                                    1.00e-09 0.00e+00 0.00e+00              2
C+          HCNC2                   C3N+        CH                                   4.80e-09-5.00e-01 0.00e+00              2
C+          HCNC2                   C2H+        C2N                                  4.80e-09-5.00e-01 0.00e+00              2
C+          HCNC2                   HCN+        C3                                   4.80e-09-5.00e-01 0.00e+00              2
C+          HCNC2                   C4N+        H                                    4.80e-09-5.00e-01 0.00e+00              2
C+          HCNC2                   C2N+        C2H                                  4.80e-09-5.00e-01 0.00e+00              2
C+          HC2NC                   C3H+        CN                                   1.40e-09-5.00e-01 0.00e+00              2
C+          HC2NC                   C2H+        C2N                                  1.40e-09-5.00e-01 0.00e+00              2
C+          HC2NC                   CNC+        C2H                                  1.40e-09-5.00e-01 0.00e+00              2
C+          HC2NC                   C4N+        H                                    1.40e-09-5.00e-01 0.00e+00              2
C+          HC2NC                   C3HN+       C                                    1.40e-09-5.00e-01 0.00e+00              2
